nom,region,departement,email,groupe,circonscription
M. Maxime Michelet,Grand Est,Marne,maxime.michelet@assemblee-nationale.fr,Union des droites pour la République,Marne (3e circonscription)
M. Olivier Becht,Grand Est,Haut-Rhin,olivier.becht@assemblee-nationale.fr,Ensemble pour la République,Haut-Rhin (5e circonscription)
M. Pascal Jenft,Grand Est,Moselle,pascal.jenft@assemblee-nationale.fr,Rassemblement National,Moselle (5e circonscription)
M. Patrick Hetzel,Grand Est,Bas-Rhin,Patrick.Hetzel@assemblee-nationale.fr,Droite Républicaine,Bas-Rhin (7e circonscription)
M. Pierre Cordier,Grand Est,Ardennes,Pierre.Cordier@assemblee-nationale.fr,Droite Républicaine,Ardennes (2e circonscription)
M. Raphaël Schellenberger,Grand Est,Haut-Rhin,Raphael.Schellenberger@assemblee-nationale.fr,Non inscrit,Haut-Rhin (4e circonscription)
M. Stéphane Hablot,Grand Est,Meurthe-et-Moselle,stephane.hablot@assemblee-nationale.fr,Socialistes et apparentés,Meurthe-et-Moselle (2e circonscription)
M. Stéphane Viry,Grand Est,Vosges,Stephane.Viry@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Vosges (1re circonscription)
M. Sébastien Humbert,Grand Est,Vosges,sebastien.humbert@assemblee-nationale.fr,Rassemblement National,Vosges (4e circonscription)
M. Thibault Bazin,Grand Est,Meurthe-et-Moselle,Thibault.Bazin@assemblee-nationale.fr,Droite Républicaine,Meurthe-et-Moselle (4e circonscription)
M. Thierry Sother,Grand Est,Bas-Rhin,thierry.sother@assemblee-nationale.fr,Socialistes et apparentés,Bas-Rhin (3e circonscription)
M. Théo Bernhardt,Grand Est,Bas-Rhin,theo.bernhardt@assemblee-nationale.fr,Rassemblement National,Bas-Rhin (8e circonscription)
M. Vincent Thiébaut,Grand Est,Bas-Rhin,Vincent.Thiebaut@assemblee-nationale.fr,Horizons & Indépendants,Bas-Rhin (9e circonscription)
M. Xavier Albertini,Grand Est,Marne,xavier.albertini@assemblee-nationale.fr,Horizons & Indépendants,Marne (1re circonscription)
Mme Angélique Ranc,Grand Est,Aube,angelique.ranc@assemblee-nationale.fr,Rassemblement National,Aube (3e circonscription)
Mme Brigitte Klinkert,Grand Est,Haut-Rhin,brigitte.klinkert@assemblee-nationale.fr,Ensemble pour la République,Haut-Rhin (1re circonscription)
Mme Estelle Mercier,Grand Est,Meurthe-et-Moselle,estelle.mercier@assemblee-nationale.fr,Socialistes et apparentés,Meurthe-et-Moselle (1re circonscription)
Mme Florence Goulet,Grand Est,Meuse,florence.goulet@assemblee-nationale.fr,Rassemblement National,Meuse (2e circonscription)
Mme Françoise Buffet,Grand Est,Bas-Rhin,francoise.buffet@assemblee-nationale.fr,Ensemble pour la République,Bas-Rhin (4e circonscription)
Mme Isabelle Rauch,Grand Est,Moselle,Isabelle.Rauch@assemblee-nationale.fr,Horizons & Indépendants,Moselle (9e circonscription)
Mme Laure Miller,Grand Est,Marne,laure.miller@assemblee-nationale.fr,Ensemble pour la République,Marne (2e circonscription)
Mme Laurence Robert-Dehault,Grand Est,Haute-Marne,laurence.robert-dehault@assemblee-nationale.fr,Rassemblement National,Haute-Marne (2e circonscription)
Mme Lise Magnier,Grand Est,Marne,Lise.Magnier@assemblee-nationale.fr,Horizons & Indépendants,Marne (4e circonscription)
Mme Louise Morel,Grand Est,Bas-Rhin,louise.morel@assemblee-nationale.fr,Les Démocrates,Bas-Rhin (6e circonscription)
Mme Nathalie Colin-Oesterlé,Grand Est,Moselle,nathalie.colin-oesterle@assemblee-nationale.fr,Horizons & Indépendants,Moselle (3e circonscription)
Mme Sandra Regol,Grand Est,Bas-Rhin,sandra.regol@assemblee-nationale.fr,Écologiste et Social,Bas-Rhin (1re circonscription)
Mme Valérie Bazin-Malgras,Grand Est,Aube,Valerie.Bazin-Malgras@assemblee-nationale.fr,Droite Républicaine,Aube (2e circonscription)
M. Christian Baptiste,Guadeloupe,Guadeloupe,christian.baptiste@assemblee-nationale.fr,Socialistes et apparentés,Guadeloupe (2e circonscription)
M. Elie Califer,Guadeloupe,Guadeloupe,elie.califer@assemblee-nationale.fr,Socialistes et apparentés,Guadeloupe (4e circonscription)
M. Max Mathiasin,Guadeloupe,Guadeloupe,Max.Mathiasin@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Guadeloupe (3e circonscription)
M. Olivier Serva,Guadeloupe,Guadeloupe,Olivier.Serva@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Guadeloupe (1re circonscription)
M. Davy Rimane,Guyane,Guyane,davy.rimane@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Guyane (2e circonscription)
M. Jean-Victor Castor,Guyane,Guyane,jean-victor.castor@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Guyane (1re circonscription)
M. Alexandre Dufosset,Hauts-de-France,Nord,alexandre.dufosset@assemblee-nationale.fr,Rassemblement National,Nord (18e circonscription)
M. Alexandre Sabatou,Hauts-de-France,Oise,alexandre.sabatou@assemblee-nationale.fr,Rassemblement National,Oise (3e circonscription)
M. Antoine Golliot,Hauts-de-France,Pas-de-Calais,antoine.golliot@assemblee-nationale.fr,Rassemblement National,Pas-de-Calais (5e circonscription)
M. Auguste Evrard,Hauts-de-France,Pas-de-Calais,auguste.evrard@assemblee-nationale.fr,Rassemblement National,Pas-de-Calais (8e circonscription)
M. Aurélien Le Coq,Hauts-de-France,Nord,aurelien.lecoq@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Nord (1re circonscription)
M. Bruno Bilde,Hauts-de-France,Pas-de-Calais,Bruno.Bilde@assemblee-nationale.fr,Rassemblement National,Pas-de-Calais (12e circonscription)
M. Bruno Clavet,Hauts-de-France,Pas-de-Calais,bruno.clavet@assemblee-nationale.fr,Rassemblement National,Pas-de-Calais (3e circonscription)
M. David Magnier,Hauts-de-France,Oise,david.magnier@assemblee-nationale.fr,Rassemblement National,Oise (7e circonscription)
M. Eddy Casterman,Hauts-de-France,Aisne,eddy.casterman@assemblee-nationale.fr,Rassemblement National,Aisne (3e circonscription)
M. Emmanuel Blairy,Hauts-de-France,Pas-de-Calais,emmanuel.blairy@assemblee-nationale.fr,Rassemblement National,Pas-de-Calais (1re circonscription)
M. François Ruffin,Hauts-de-France,Somme,Francois.Ruffin@assemblee-nationale.fr,Écologiste et Social,Somme (1re circonscription)
M. Frédéric-Pierre Vos,Hauts-de-France,Oise,fredericpierre.vos@assemblee-nationale.fr,Rassemblement National,Oise (5e circonscription)
M. Guillaume Florquin,Hauts-de-France,Nord,guillaume.florquin@assemblee-nationale.fr,Rassemblement National,Nord (20e circonscription)
M. Jean Bodart,Hauts-de-France,Nord,jean.bodart@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Nord (13e circonscription)
M. Jean-Philippe Tanguy,Hauts-de-France,Somme,jean-philippe.tanguy@assemblee-nationale.fr,Rassemblement National,Somme (4e circonscription)
M. Jean-Pierre Bataille,Hauts-de-France,Nord,jean-pierre.bataille@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Nord (15e circonscription)
M. Jocelyn Dessigny,Hauts-de-France,Aisne,jocelyn.dessigny@assemblee-nationale.fr,Rassemblement National,Aisne (5e circonscription)
M. José Beaurain,Hauts-de-France,Aisne,jose.beaurain@assemblee-nationale.fr,Rassemblement National,Aisne (4e circonscription)
M. Julien Dive,Hauts-de-France,Aisne,Julien.Dive@assemblee-nationale.fr,Droite Républicaine,Aisne (2e circonscription)
M. Marc de Fleurian,Hauts-de-France,Pas-de-Calais,marc.defleurian@assemblee-nationale.fr,Rassemblement National,Pas-de-Calais (7e circonscription)
M. Matthias Renault,Hauts-de-France,Somme,matthias.renault@assemblee-nationale.fr,Rassemblement National,Somme (3e circonscription)
M. Matthieu Marchio,Hauts-de-France,Nord,matthieu.marchio@assemblee-nationale.fr,Rassemblement National,Nord (16e circonscription)
M. Michaël Taverne,Hauts-de-France,Nord,michael.taverne@assemblee-nationale.fr,Rassemblement National,Nord (12e circonscription)
M. Michel Guiniot,Hauts-de-France,Oise,michel.guiniot@assemblee-nationale.fr,Rassemblement National,Oise (6e circonscription)
M. Nicolas Dragon,Hauts-de-France,Aisne,nicolas.dragon@assemblee-nationale.fr,Rassemblement National,Aisne (1re circonscription)
M. Philippe Ballard,Hauts-de-France,Oise,philippe.ballard@assemblee-nationale.fr,Rassemblement National,Oise (2e circonscription)
M. Philippe Fait,Hauts-de-France,Pas-de-Calais,philippe.fait@assemblee-nationale.fr,Horizons & Indépendants,Pas-de-Calais (4e circonscription)
M. Pierre Marle,Hauts-de-France,Nord,pierre.marle@assemblee-nationale.fr,Horizons & Indépendants,Nord (14e circonscription)
M. Roger Vicot,Hauts-de-France,Nord,roger.vicot@assemblee-nationale.fr,Socialistes et apparentés,Nord (11e circonscription)
M. Sébastien Chenu,Hauts-de-France,Nord,Sebastien.Chenu@assemblee-nationale.fr,Rassemblement National,Nord (19e circonscription)
M. Sébastien Huyghe,Hauts-de-France,Nord,sebastien.huyghe@assemblee-nationale.fr,Ensemble pour la République,Nord (5e circonscription)
M. Thierry Frappé,Hauts-de-France,Pas-de-Calais,thierry.frappe@assemblee-nationale.fr,Rassemblement National,Pas-de-Calais (10e circonscription)
M. Thierry Tesson,Hauts-de-France,Nord,thierry.tesson@assemblee-nationale.fr,Rassemblement National,Nord (17e circonscription)
M. Ugo Bernalicis,Hauts-de-France,Nord,Ugo.Bernalicis@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Nord (2e circonscription)
M. Vincent Ledoux,Hauts-de-France,Nord,Vincent.Ledoux@assemblee-nationale.fr,Ensemble pour la République,Nord (10e circonscription)
Mme Agnès Pannier-Runacher,Hauts-de-France,Pas-de-Calais,agnes.pannier-runacher@assemblee-nationale.fr,Ensemble pour la République,Pas-de-Calais (2e circonscription)
Mme Brigitte Liso,Hauts-de-France,Nord,Brigitte.Liso@assemblee-nationale.fr,Ensemble pour la République,Nord (4e circonscription)
Mme Caroline Parmentier,Hauts-de-France,Pas-de-Calais,caroline.parmentier@assemblee-nationale.fr,Rassemblement National,Pas-de-Calais (9e circonscription)
Mme Charlotte Parmentier-Lecocq,Hauts-de-France,Nord,charlotte.parmentier-lecocq@assemblee-nationale.fr,Horizons & Indépendants,Nord (6e circonscription)
Mme Christine Engrand,Hauts-de-France,Pas-de-Calais,christine.engrand@assemblee-nationale.fr,Non inscrit,Pas-de-Calais (6e circonscription)
Mme Claire Marais-Beuil,Hauts-de-France,Oise,claire.marais-beuil@assemblee-nationale.fr,Rassemblement National,Oise (1re circonscription)
Mme Félicie Gérard,Hauts-de-France,Nord,felicie.gerard@assemblee-nationale.fr,Horizons & Indépendants,Nord (7e circonscription)
Mme Marine Le Pen,Hauts-de-France,Pas-de-Calais,Marine.LePen@assemblee-nationale.fr,Rassemblement National,Pas-de-Calais (11e circonscription)
Mme Sandra Delannoy,Hauts-de-France,Nord,sandra.delannoy@assemblee-nationale.fr,Non inscrit,Nord (3e circonscription)
Mme Shéhérazade Bentorki,Hauts-de-France,Nord,sheherazade.bentorki@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Nord (8e circonscription)
Mme Valérie Létard,Hauts-de-France,Nord,valerie.letard@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Nord (21e circonscription)
Mme Violette Spillebout,Hauts-de-France,Nord,violette.spillebout@assemblee-nationale.fr,Ensemble pour la République,Nord (9e circonscription)
Mme Véronique Ludmann,Hauts-de-France,Oise,veronique.ludmann@assemblee-nationale.fr,Horizons & Indépendants,Oise (4e circonscription)
Mme Yaël Ménaché,Hauts-de-France,Somme,yael.menache@assemblee-nationale.fr,Rassemblement National,Somme (5e circonscription)
Mme Zahia Hamdane,Hauts-de-France,Somme,zahia.hamdane@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Somme (2e circonscription)
M. Alexis Corbière,Ile-de-France,Seine-Saint-Denis,Alexis.Corbiere@assemblee-nationale.fr,Écologiste et Social,Seine-Saint-Denis (7e circonscription)
M. Aly Diouara,Ile-de-France,Seine-Saint-Denis,aly.diouara@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis (5e circonscription)
M. Antoine Léaument,Ile-de-France,Essonne,antoine.leaument@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Essonne (10e circonscription)
M. Arnaud Bonnet,Ile-de-France,Seine-et-Marne,arnaud.bonnet@assemblee-nationale.fr,Écologiste et Social,Seine-et-Marne (8e circonscription)
M. Arnaud Le Gall,Ile-de-France,Val-d'Oise,arnaud.legall@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Val-d'Oise (9e circonscription)
M. Arnaud Saint-Martin,Ile-de-France,Seine-et-Marne,arnaud.saint-martin@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-et-Marne (1re circonscription)
M. Aurélien Rousseau,Ile-de-France,Yvelines,aurelien.rousseau@assemblee-nationale.fr,Socialistes et apparentés,Yvelines (7e circonscription)
M. Aurélien Saintoul,Ile-de-France,Hauts-de-Seine,aurelien.saintoul@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Hauts-de-Seine (11e circonscription)
M. Aurélien Taché,Ile-de-France,Val-d'Oise,Aurelien.Tache@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Val-d'Oise (10e circonscription)
M. Aymeric Caron,Ile-de-France,Paris,aymeric.caron@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Paris (18e circonscription)
M. Bastien Lachaud,Ile-de-France,Seine-Saint-Denis,Bastien.Lachaud@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis (6e circonscription)
M. Benjamin Lucas-Lundy,Ile-de-France,Yvelines,benjamin.lucas@assemblee-nationale.fr,Écologiste et Social,Yvelines (8e circonscription)
M. Benoît Blanchard,Ile-de-France,Val-d'Oise,benoit.blanchard@assemblee-nationale.fr,Horizons & Indépendants,Val-d'Oise (4e circonscription)
M. Bérenger Cernon,Ile-de-France,Essonne,berenger.cernon@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Essonne (8e circonscription)
M. Carlos Martens Bilongo,Ile-de-France,Val-d'Oise,carlosmartens.bilongo@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Val-d'Oise (8e circonscription)
M. Charles Rodwell,Ile-de-France,Yvelines,charles.rodwell@assemblee-nationale.fr,Ensemble pour la République,Yvelines (1re circonscription)
M. Christophe Mongardien,Ile-de-France,Hauts-de-Seine,christophe.mongardien@assemblee-nationale.fr,Ensemble pour la République,Hauts-de-Seine (13e circonscription)
M. Emmanuel Maurel,Ile-de-France,Val-d'Oise,emmanuel.maurel@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Val-d'Oise (3e circonscription)
M. Frédéric Valletoux,Ile-de-France,Seine-et-Marne,frederic.valletoux@assemblee-nationale.fr,Horizons & Indépendants,Seine-et-Marne (2e circonscription)
M. Gabriel Attal,Ile-de-France,Hauts-de-Seine,gabriel.attal@assemblee-nationale.fr,Ensemble pour la République,Hauts-de-Seine (10e circonscription)
M. Guillaume Gouffier Valente,Ile-de-France,Val-de-Marne,guillaume.gouffier-valente@assemblee-nationale.fr,Ensemble pour la République,Val-de-Marne (6e circonscription)
M. Jean-Louis Thiériot,Ile-de-France,Seine-et-Marne,Jean-Louis.Thieriot@assemblee-nationale.fr,Droite Républicaine,Seine-et-Marne (3e circonscription)
M. Julien Limongi,Ile-de-France,Seine-et-Marne,julien.limongi@assemblee-nationale.fr,Rassemblement National,Seine-et-Marne (4e circonscription)
M. Jérôme Guedj,Ile-de-France,Essonne,jerome.guedj@assemblee-nationale.fr,Socialistes et apparentés,Essonne (6e circonscription)
M. Jérôme Legavre,Ile-de-France,Seine-Saint-Denis,jerome.legavre@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis (12e circonscription)
M. Karl Olive,Ile-de-France,Yvelines,karl.olive@assemblee-nationale.fr,Ensemble pour la République,Yvelines (12e circonscription)
M. Laurent Mazaury,Ile-de-France,Yvelines,laurent.mazaury@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Yvelines (11e circonscription)
M. Louis Boyard,Ile-de-France,Val-de-Marne,louis.boyard@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Val-de-Marne (3e circonscription)
M. Maxime Laisney,Ile-de-France,Seine-et-Marne,maxime.laisney@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-et-Marne (10e circonscription)
M. Michel Barnier,Ile-de-France,Paris,michel.barnier@assemblee-nationale.fr,Droite Républicaine,Paris (2e circonscription)
M. Michel Herbillon,Ile-de-France,Val-de-Marne,Michel.Herbillon@assemblee-nationale.fr,Droite Républicaine,Val-de-Marne (8e circonscription)
M. Nicolas Tryzna,Ile-de-France,Val-de-Marne,nicolas.tryzna@assemblee-nationale.fr,Droite Républicaine,Val-de-Marne (7e circonscription)
M. Olivier Faure,Ile-de-France,Seine-et-Marne,Olivier.Faure@assemblee-nationale.fr,Socialistes et apparentés,Seine-et-Marne (11e circonscription)
M. Paul Midy,Ile-de-France,Essonne,paul.midy@assemblee-nationale.fr,Ensemble pour la République,Essonne (5e circonscription)
M. Paul Vannier,Ile-de-France,Val-d'Oise,paul.vannier@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Val-d'Oise (5e circonscription)
M. Philippe Juvin,Ile-de-France,Hauts-de-Seine,philippe.juvin@assemblee-nationale.fr,Droite Républicaine,Hauts-de-Seine (3e circonscription)
M. Pierre Cazeneuve,Ile-de-France,Hauts-de-Seine,pierre.cazeneuve@assemblee-nationale.fr,Ensemble pour la République,Hauts-de-Seine (7e circonscription)
M. Pouria Amirshahi,Ile-de-France,Paris,pouria.amirshahi@assemblee-nationale.fr,Écologiste et Social,Paris (5e circonscription)
M. Rodrigo Arenas,Ile-de-France,Paris,rodrigo.arenas@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Paris (10e circonscription)
M. Romain Eskenazi,Ile-de-France,Val-d'Oise,romain.eskenazi@assemblee-nationale.fr,Socialistes et apparentés,Val-d'Oise (7e circonscription)
M. Steevy Gustave,Ile-de-France,Essonne,steevy.gustave@assemblee-nationale.fr,Écologiste et Social,Essonne (3e circonscription)
M. Stéphane Peu,Ile-de-France,Seine-Saint-Denis,Stephane.Peu@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Seine-Saint-Denis (2e circonscription)
M. Sylvain Berrios,Ile-de-France,Val-de-Marne,sylvain.berrios@assemblee-nationale.fr,Horizons & Indépendants,Val-de-Marne (1re circonscription)
M. Sylvain Maillard,Ile-de-France,Paris,Sylvain.Maillard@assemblee-nationale.fr,Ensemble pour la République,Paris (1re circonscription)
M. Thomas Lam,Ile-de-France,Hauts-de-Seine,thomas.lam@assemblee-nationale.fr,Horizons & Indépendants,Hauts-de-Seine (2e circonscription)
M. Thomas Portes,Ile-de-France,Seine-Saint-Denis,thomas.portes@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis (3e circonscription)
M. Éric Coquerel,Ile-de-France,Seine-Saint-Denis,Eric.Coquerel@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis (1re circonscription)
Mme Anne Bergantz,Ile-de-France,Yvelines,anne.bergantz@assemblee-nationale.fr,Les Démocrates,Yvelines (2e circonscription)
Mme Anne Sicard,Ile-de-France,Val-d'Oise,anne.sicard@assemblee-nationale.fr,Rassemblement National,Val-d'Oise (1re circonscription)
Mme Anne-Sophie Ronceret,Ile-de-France,Yvelines,anne-sophie.ronceret@assemblee-nationale.fr,Ensemble pour la République,Yvelines (10e circonscription)
Mme Aurélie Trouvé,Ile-de-France,Seine-Saint-Denis,aurelie.trouve@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis (9e circonscription)
Mme Ayda Hadizadeh,Ile-de-France,Val-d'Oise,ayda.hadizadeh@assemblee-nationale.fr,Socialistes et apparentés,Val-d'Oise (2e circonscription)
Mme Béatrice Piron,Ile-de-France,Yvelines,Beatrice.Piron@assemblee-nationale.fr,Horizons & Indépendants,Yvelines (3e circonscription)
Mme Béatrice Roullaud,Ile-de-France,Seine-et-Marne,beatrice.roullaud@assemblee-nationale.fr,Rassemblement National,Seine-et-Marne (6e circonscription)
Mme Carole Guillerm,Ile-de-France,Hauts-de-Seine,carole.guillerm@assemblee-nationale.fr,Les Démocrates,Hauts-de-Seine (12e circonscription)
Mme Catherine Ibled,Ile-de-France,Paris,catherine.ibled@assemblee-nationale.fr,Ensemble pour la République,Paris (13e circonscription)
Mme Claire Lejeune,Ile-de-France,Essonne,claire.lejeune@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Essonne (7e circonscription)
Mme Clémence Guetté,Ile-de-France,Val-de-Marne,clemence.guette@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Val-de-Marne (2e circonscription)
Mme Clémentine Autain,Ile-de-France,Seine-Saint-Denis,Clementine.Autain@assemblee-nationale.fr,Écologiste et Social,Seine-Saint-Denis (11e circonscription)
Mme Constance Le Grip,Ile-de-France,Hauts-de-Seine,Constance.LeGrip@assemblee-nationale.fr,Ensemble pour la République,Hauts-de-Seine (6e circonscription)
Mme Céline Calvez,Ile-de-France,Hauts-de-Seine,Celine.Calvez@assemblee-nationale.fr,Ensemble pour la République,Hauts-de-Seine (5e circonscription)
Mme Céline Hervieu,Ile-de-France,Paris,celine.hervieu@assemblee-nationale.fr,Socialistes et apparentés,Paris (11e circonscription)
Mme Céline Thiébault-Martinez,Ile-de-France,Seine-et-Marne,celine.thiebault-martinez@assemblee-nationale.fr,Socialistes et apparentés,Seine-et-Marne (9e circonscription)
Mme Danielle Simonnet,Ile-de-France,Paris,danielle.simonnet@assemblee-nationale.fr,Écologiste et Social,Paris (15e circonscription)
Mme Danièle Obono,Ile-de-France,Paris,Daniele.Obono@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Paris (17e circonscription)
Mme Dieynaba Diop,Ile-de-France,Yvelines,dieynaba.diop@assemblee-nationale.fr,Socialistes et apparentés,Yvelines (9e circonscription)
Mme Dorine Bregman,Ile-de-France,Paris,dorine.bregman@assemblee-nationale.fr,Socialistes et apparentés,Paris (7e circonscription)
Mme Elsa Faucillon,Ile-de-France,Hauts-de-Seine,Elsa.Faucillon@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Hauts-de-Seine (1re circonscription)
Mme Emmanuelle Hoffman,Ile-de-France,Paris,emmanuelle.hoffman@assemblee-nationale.fr,Ensemble pour la République,Paris (4e circonscription)
Mme Ersilia Soudais,Ile-de-France,Seine-et-Marne,ersilia.soudais@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-et-Marne (7e circonscription)
Mme Eva Sas,Ile-de-France,Paris,eva.sas@assemblee-nationale.fr,Écologiste et Social,Paris (8e circonscription)
Mme Farida Amrani,Ile-de-France,Essonne,farida.amrani@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Essonne (1re circonscription)
Mme Fatiha Keloua Hachi,Ile-de-France,Seine-Saint-Denis,fatiha.kelouahachi@assemblee-nationale.fr,Socialistes et apparentés,Seine-Saint-Denis (8e circonscription)
Mme Gabrielle Cathala,Ile-de-France,Val-d'Oise,gabrielle.cathala@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Val-d'Oise (6e circonscription)
Mme Isabelle Santiago,Ile-de-France,Val-de-Marne,isabelle.santiago@assemblee-nationale.fr,Socialistes et apparentés,Val-de-Marne (9e circonscription)
Mme Joséphine Missoffe,Ile-de-France,Paris,josephine.missoffe@assemblee-nationale.fr,Ensemble pour la République,Paris (14e circonscription)
Mme Julie Ozenne,Ile-de-France,Essonne,julie.ozenne@assemblee-nationale.fr,Écologiste et Social,Essonne (9e circonscription)
Mme Léa Balage El Mariky,Ile-de-France,Paris,lea.balage@assemblee-nationale.fr,Écologiste et Social,Paris (3e circonscription)
Mme Marie Lebec,Ile-de-France,Yvelines,Marie.Lebec@assemblee-nationale.fr,Ensemble pour la République,Yvelines (4e circonscription)
Mme Marie-Pierre Rixain,Ile-de-France,Essonne,Marie-Pierre.Rixain@assemblee-nationale.fr,Ensemble pour la République,Essonne (4e circonscription)
Mme Mathilde Panot,Ile-de-France,Val-de-Marne,Mathilde.Panot@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Val-de-Marne (10e circonscription)
Mme Maud Petit,Ile-de-France,Val-de-Marne,Maud.Petit@assemblee-nationale.fr,Les Démocrates,Val-de-Marne (4e circonscription)
Mme Nadège Abomangoli,Ile-de-France,Seine-Saint-Denis,nadege.abomangoli@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis (10e circonscription)
Mme Natalia Pouzyreff,Ile-de-France,Yvelines,Natalia.Pouzyreff@assemblee-nationale.fr,Ensemble pour la République,Yvelines (6e circonscription)
Mme Nathalie Da Conceicao Carvalho,Ile-de-France,Essonne,nathalie.daconceicaocarvalho@assemblee-nationale.fr,Rassemblement National,Essonne (2e circonscription)
Mme Olivia Grégoire,Ile-de-France,Paris,olivia.gregoire@assemblee-nationale.fr,Ensemble pour la République,Paris (12e circonscription)
Mme Patricia Lemoine,Ile-de-France,Seine-et-Marne,patricia.lemoine@assemblee-nationale.fr,Ensemble pour la République,Seine-et-Marne (5e circonscription)
Mme Prisca Thevenot,Ile-de-France,Hauts-de-Seine,prisca.thevenot@assemblee-nationale.fr,Ensemble pour la République,Hauts-de-Seine (8e circonscription)
Mme Sabrina Sebaihi,Ile-de-France,Hauts-de-Seine,sabrina.sebaihi@assemblee-nationale.fr,Écologiste et Social,Hauts-de-Seine (4e circonscription)
Mme Sandrine Lalanne,Ile-de-France,Val-de-Marne,sandrine.lalanne@assemblee-nationale.fr,Ensemble pour la République,Val-de-Marne (5e circonscription)
Mme Sandrine Rousseau,Ile-de-France,Paris,sandrine.rousseau@assemblee-nationale.fr,Écologiste et Social,Paris (9e circonscription)
Mme Sarah Legrain,Ile-de-France,Paris,sarah.legrain@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Paris (16e circonscription)
Mme Sophia Chikirou,Ile-de-France,Paris,sophia.chikirou@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Paris (6e circonscription)
Mme Sophie Taillé-Polian,Ile-de-France,Val-de-Marne,sophie.taille-polian@assemblee-nationale.fr,Écologiste et Social,Val-de-Marne (11e circonscription)
Mme Soumya Bourouaha,Ile-de-France,Seine-Saint-Denis,soumya.bourouaha@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Seine-Saint-Denis (4e circonscription)
Mme Yaël Braun-Pivet,Ile-de-France,Yvelines,Yael.Braun-Pivet@assemblee-nationale.fr,Ensemble pour la République,Yvelines (5e circonscription)
Mme Élisabeth de Maistre,Ile-de-France,Hauts-de-Seine,elisabeth.demaistre@assemblee-nationale.fr,Droite Républicaine,Hauts-de-Seine (9e circonscription)
M. Jean-Philippe Nilor,Martinique,Martinique,Jean-Philippe.Nilor@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Martinique (4e circonscription)
M. Jiovanny William,Martinique,Martinique,jiovanny.william@assemblee-nationale.fr,Socialistes et apparentés,Martinique (1re circonscription)
M. Marcellin Nadeau,Martinique,Martinique,marcellin.nadeau@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Martinique (2e circonscription)
Mme Béatrice Bellay,Martinique,Martinique,beatrice.bellay@assemblee-nationale.fr,Socialistes et apparentés,Martinique (3e circonscription)
